ID,Letter,Word_Class,Vietnamese_Meaning,IPA,Verb_Structure_Collocation,Example,Vietnamese_Explanation
1,The,Determiner,,/ðə/ or /ðiː/,the + Noun,The ocean is facing unprecedented challenges due to overfishing. (Đại dương đang phải đối mặt với những thách thức chưa từng có do đánh bắt quá mức).,"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể, đã được đề cập trước đó hoặc người đọc có thể hiểu được."
2,face,Noun,diện mạo,/feɪs/,the face of something,The face of the music industry has changed dramatically with the rise of streaming services. (Diện mạo của ngành công nghiệp âm nhạc đã thay đổi đáng kể với sự gia tăng của các dịch vụ phát nhạc trực tuyến.),"Trong đoạn văn, ""face"" được sử dụng theo nghĩa bóng để chỉ diện mạo, trạng thái hoặc tình trạng chung của đại dương."
3,of,Preposition,của,/əv/ hoặc /ʌv/,Noun + of + Noun,The impact of overfishing on marine ecosystems is severe. (Ảnh hưởng của việc đánh bắt quá mức đối với hệ sinh thái biển là rất nghiêm trọng.),"Trong đoạn văn, ""of"" được sử dụng để chỉ sự sở hữu hoặc mối liên hệ giữa hai danh từ, trong trường hợp này là ""face"" và ""ocean."""
4,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The government is implementing new regulations to protect fish populations. (Chính phủ đang thực hiện các quy định mới để bảo vệ quần thể cá.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể, đã được đề cập trước đó hoặc người đọc có thể hiểu được."
5,ocean,Noun,đại dương,/ˈoʊʃən/,,The ocean plays a vital role in regulating the Earth's climate. (Đại dương đóng một vai trò quan trọng trong việc điều hòa khí hậu Trái Đất.),"Trong đoạn văn, ""ocean"" được sử dụng để chỉ toàn bộ vùng nước mặn bao phủ phần lớn bề mặt Trái Đất."
6,has,Auxiliary verb,đã,/hæz/,Subject + has/have + past participle,The use of technology has revolutionized the fishing industry. (Việc sử dụng công nghệ đã cách mạng hóa ngành công nghiệp đánh bắt cá.),"Trong đoạn văn, ""has changed"" là thì hiện tại hoàn thành, diễn tả một hành động bắt đầu trong quá khứ và vẫn còn tiếp diễn hoặc có ảnh hưởng đến hiện tại."
7,changed,Verb,thay đổi,/tʃeɪndʒd/,change from something to something,The fishing industry has changed significantly over the past century. (Ngành công nghiệp đánh bắt cá đã thay đổi đáng kể trong thế kỷ qua.),"Trong đoạn văn, ""changed"" được sử dụng để chỉ sự biến đổi, khác biệt so với trạng thái ban đầu của đại dương."
8,completely,Adverb,hoàn toàn,/kəmˈpliːtli/,completely + adjective/verb,The ecosystem has been completely transformed by pollution. (Hệ sinh thái đã bị thay đổi hoàn toàn bởi ô nhiễm.),"Trong đoạn văn, ""completely"" được sử dụng để nhấn mạnh mức độ thay đổi của đại dương, cho thấy sự khác biệt rõ rệt so với trước đây."
9,since,Preposition,kể từ,/sɪns/,since + a point in time,The population of some fish species has declined sharply since the 1980s. (Quần thể của một số loài cá đã giảm mạnh kể từ những năm 1980.),"Trong đoạn văn, ""since"" được sử dụng để chỉ một mốc thời gian trong quá khứ, từ đó sự thay đổi của đại dương bắt đầu diễn ra."
10,the,Determiner,,/ðə/ or /ðiː/,the + Noun,The first commercial fishermen used traditional methods to catch fish. (Những ngư dân thương mại đầu tiên đã sử dụng các phương pháp truyền thống để đánh bắt cá.),"Trong đoạn văn, ""the"" được sử dụng để chỉ một đối tượng cụ thể, đã được đề cập trước đó hoặc người đọc có thể hiểu được."
11,first,Adjective,đầu tiên,/fɜːrst/,the first + noun,The first step in solving the problem is to reduce overfishing. (Bước đầu tiên trong việc giải quyết vấn đề là giảm đánh bắt quá mức.),"Trong đoạn văn, ""first"" được sử dụng để chỉ những người đánh cá thương mại đầu tiên xuất hiện trong lịch sử."
12,commercial,Adjective,thương mại,/kəˈmɜːrʃəl/,commercial + noun,Commercial fishing has put a strain on fish populations. (Đánh bắt cá thương mại đã gây áp lực lên quần thể cá.),"Trong đoạn văn, ""commercial"" được sử dụng để chỉ hoạt động đánh bắt cá với mục đích kinh doanh, buôn bán."
13,fishers,Noun,ngư dân,/ˈfɪʃərz/,fishermen,Fishers are facing challenges due to declining fish stocks. (Ngư dân đang phải đối mặt với những thách thức do trữ lượng cá giảm sút.),"Trong đoạn văn, ""fishers"" được sử dụng để chỉ những người hành nghề đánh bắt cá."
14,cast,Verb,quăng,/kæst/,cast something (out),Fishermen cast their nets wide in the hope of a large catch. (Ngư dân quăng lưới rộng với hy vọng có một mẻ cá lớn.),"Trong đoạn văn, ""cast"" được sử dụng để chỉ hành động ném lưới hoặc móc câu xuống biển để đánh bắt cá."
15,their,Determiner,,/ðeər/,their + Noun,Fishermen rely on their knowledge of the sea to find fish. (Ngư dân dựa vào kiến thức của họ về biển để tìm cá.),"Trong đoạn văn, ""their"" được sử dụng để chỉ sở hữu của những người đánh cá (fishers) đối với lưới (nets) và móc câu (hooks)."
16,nets,Noun,lưới,/nets/,fishing nets,The use of large nets can lead to overfishing. (Việc sử dụng lưới lớn có thể dẫn đến đánh bắt quá mức.),"Trong đoạn văn, ""nets"" được sử dụng để chỉ dụng cụ đánh bắt cá hình lưới được sử dụng bởi những người đánh cá thương mại."
17,and,Conjunction,và,/ænd/,Noun + and + Noun,Overfishing and pollution are two major threats to the ocean. (Đánh bắt quá mức và ô nhiễm là hai mối đe dọa lớn đối với đại dương.),"Trong đoạn văn, ""and"" được sử dụng để nối hai danh từ ""nets"" và ""hooks"" lại với nhau, cho thấy cả hai đều là dụng cụ đánh bắt cá."
18,hooks,Noun,móc câu,/hʊks/,fishing hooks,Some types of fishing hooks can harm marine life. (Một số loại móc câu cá có thể gây hại cho sinh vật biển.),"Trong đoạn văn, ""hooks"" được sử dụng để chỉ dụng cụ đánh bắt cá có móc nhọn, thường được gắn vào dây câu."
